Tier,Category,Sub-Category,Company Name,Description,Website,Notes
1,Pricing & Claims Optimization,Reference-Based Pricing (RBP),ELAP Services,Reference-based pricing vendor,,Original example
1,Pricing & Claims Optimization,Reference-Based Pricing (RBP),Zelis,Reference-based pricing solutions,,Original example
1,Pricing & Claims Optimization,Reference-Based Pricing (RBP),6 Degrees Health,Features MediVI platform with advanced analytics and AI,,Web search 2025
1,Pricing & Claims Optimization,Reference-Based Pricing (RBP),TouchCare,Premier health advocacy service with concierge-style approach,,Web search 2025
1,Pricing & Claims Optimization,Reference-Based Pricing (RBP),ClaimDOC,National medical claim auditing and member advocacy company,,Web search 2025
1,Pricing & Claims Optimization,Reference-Based Pricing (RBP),Custom Design Benefits,TrueCost program for reference-based pricing,,Web search 2025
1,Pricing & Claims Optimization,Reference-Based Pricing (RBP),Sana Benefits,Uses Medicare and various pricing data sets for benchmarks,,Web search 2025
1,Pricing & Claims Optimization,Claims Repricing Services,Vālenz Health,Comprehensive claims repricing and payment integrity,,Original example
1,Pricing & Claims Optimization,Claims Repricing Services,MultiPlan,Major PPO network and claims repricing services,,Web search 2025
1,Pricing & Claims Optimization,Claims Repricing Services,Claritev,Tech-enabled solutions with 40+ years of repricing experience,,Web search 2025
1,Pricing & Claims Optimization,Claims Repricing Services,PHCS,Preferred Provider Organization with extensive network,,Web search 2025
1,Pricing & Claims Optimization,Claims Repricing Services,HS Technologies (HST),Reference-based pricing and repricing vendor,,Web search 2025
1,Pricing & Claims Optimization,Claims Repricing Services,Advanced Medical Pricing Solutions (AMPS),Healthcare cost management with physician-led audits,,Web search 2025
1,Pricing & Claims Optimization,Bill Review & Audit,Vālenz Health (ProteKHt division),Specialized bill review and audit services,,Original example
1,Pricing & Claims Optimization,Bill Review & Audit,ClaimDOC,Medical claim auditing and advocacy,,Web search 2025
1,Pricing & Claims Optimization,Bill Review & Audit,Advanced Medical Pricing Solutions (AMPS),Line-by-line physician audits on all claims,,Web search 2025
1,Pricing & Claims Optimization,Bill Review & Audit,6 Degrees Health,AI-driven bill review and analytics,,Web search 2025
1,Pricing & Claims Optimization,Bill Review & Audit,Personify Health,Comprehensive health platform with audit capabilities,,Web search 2025
1,Pricing & Claims Optimization,Bill Review & Audit,TouchCare,High-touch advocacy including bill review,,Web search 2025
1,Pricing & Claims Optimization,Payment Integrity Solutions,Vālenz Health,Payment integrity and healthcare cost management,,Original example
1,Pricing & Claims Optimization,Payment Integrity Solutions,MultiPlan,Payment editing and negotiating solutions,,Web search 2025
1,Pricing & Claims Optimization,Payment Integrity Solutions,Claritev,AI-powered payment integrity platform,,Web search 2025
1,Pricing & Claims Optimization,Payment Integrity Solutions,ClaimChoice Administrators,Independent administrator with payment integrity focus,,Web search 2025
1,Pricing & Claims Optimization,Payment Integrity Solutions,AmeriBen,Third party medical benefit administration,,Web search 2025
1,Pricing & Claims Optimization,Payment Integrity Solutions,Personify Health,Holistic platform including payment integrity,,Web search 2025
1,Pricing & Claims Optimization,Out-of-Network Negotiation,Vālenz Health,Out-of-network negotiation services,,Original example
1,Pricing & Claims Optimization,Out-of-Network Negotiation,MultiPlan,OON network negotiation and repricing,,Web search 2025
1,Pricing & Claims Optimization,Out-of-Network Negotiation,Claritev,Out-of-network claim negotiation,,Web search 2025
1,Pricing & Claims Optimization,Out-of-Network Negotiation,TouchCare,Concierge advocacy including OON negotiation,,Web search 2025
1,Pricing & Claims Optimization,Out-of-Network Negotiation,6 Degrees Health,Advanced analytics for OON cost management,,Web search 2025
1,Pricing & Claims Optimization,Out-of-Network Negotiation,Newfront,TPA with OON negotiation expertise,,Web search 2025
2,Pharmacy & Specialty Rx,Pharmacy Benefit Managers (PBMs),SmithRx,Modern transparent PBM,,Original example
2,Pharmacy & Specialty Rx,Pharmacy Benefit Managers (PBMs),Navitus,Mid-tier transparent PBM,,Original example
2,Pharmacy & Specialty Rx,Pharmacy Benefit Managers (PBMs),CVS Caremark,Largest PBM by market share across multiple segments,,Web search 2025
2,Pharmacy & Specialty Rx,Pharmacy Benefit Managers (PBMs),Express Scripts (Cigna),Top PBM with 20M Centene beneficiaries,,Web search 2025
2,Pharmacy & Specialty Rx,Pharmacy Benefit Managers (PBMs),OptumRx (UnitedHealth),Major PBM part of UnitedHealth Group,,Web search 2025
2,Pharmacy & Specialty Rx,Pharmacy Benefit Managers (PBMs),Prime Therapeutics,Mid-tier PBM serving health plans,,Web search 2025
2,Pharmacy & Specialty Rx,Pharmacy Benefit Managers (PBMs),MedImpact,Independent mid-tier PBM,,Web search 2025
2,Pharmacy & Specialty Rx,Specialty Drug Management,SmithRx (Connect 360),Specialty drug management platform,,Original example
2,Pharmacy & Specialty Rx,Specialty Drug Management,CVS Caremark,Specialty pharmacy and management,,Web search 2025
2,Pharmacy & Specialty Rx,Specialty Drug Management,OptumRx,Specialty drug solutions,,Web search 2025
2,Pharmacy & Specialty Rx,Specialty Drug Management,Express Scripts,Specialty pharmacy services,,Web search 2025
2,Pharmacy & Specialty Rx,Specialty Drug Management,Prime Therapeutics,Specialty medication management,,Web search 2025
2,Pharmacy & Specialty Rx,Specialty Drug Management,Envolve Pharmacy Solutions,Centene specialty pharmacy,,Web search 2025
2,Pharmacy & Specialty Rx,Gene & Cell Therapy Programs,CVS Caremark,Gene and cell therapy management through specialty,,Web search 2025
2,Pharmacy & Specialty Rx,Gene & Cell Therapy Programs,OptumRx,Advanced therapy management,,Web search 2025
2,Pharmacy & Specialty Rx,Gene & Cell Therapy Programs,Express Scripts,Gene therapy benefit management,,Web search 2025
2,Pharmacy & Specialty Rx,Gene & Cell Therapy Programs,Prime Therapeutics,Advanced genetic therapy programs,,Web search 2025
2,Pharmacy & Specialty Rx,Gene & Cell Therapy Programs,SmithRx,Specialty program including gene therapies,,Web search 2025
2,Pharmacy & Specialty Rx,International Drug Sourcing,Mark Cuban Cost Plus Drugs,Transparent pricing for generic medications,,Original example
